call_nr;a;b;c;d;e
1;1;2;3;1;1
2;1;1;1;2;1
3;1;1;1;2;1
4;1;1;1;1;1
5;1;1;1;1;2
6;3;3;3;3;0
7;3;3;3;3;3
8;1;1;1;1;3
9;3;3;2;1;1
10;1;1;1;2;1
11;1;1;1;2;2
12;1;1;1;1;2
13;0;0;0;0;3
14;1;1;1;2;1
15;1;2;3;1;1
16;2;1;1;3;1
17;1;1;2;1;2
18;1;1;3;2;3
19;1;1;1;2;1
20;1;1;3;1;3
21;3;3;3;3;1
22;3;3;3;3;3
23;1;1;1;2;1
24;1;2;1;1;1
25;2;2;1;3;1
26;1;2;3;1;1
27;1;1;1;2;2
28;2;2;1;3;2
29;1;1;2;2;1
30;1;1;2;1;2
31;1;1;1;2;2
32;3;2;2;1;1
33;3;3;3;3;1
34;1;2;3;2;1
35;1;1;1;2;1
36;1;1;1;1;2
37;1;1;1;2;1
38;1;1;1;1;2
39;3;2;1;1;1
40;1;1;1;2;2
41;1;1;2;1;2
42;1;1;1;2;1
43;1;1;2;2;2
44;1;1;1;2;1
45;1;1;1;1;2
46;1;1;2;1;2
47;2;1;1;1;1
48;1;3;2;3;1
49;1;2;2;2;3
50;1;2;2;3;1
51;2;3;2;1;1
52;3;2;2;1;2
53;1;1;1;2;1
54;1;2;3;1;1
55;1;2;2;2;1
56;1;1;1;1;2
57;1;1;1;1;2
58;3;3;3;3;1
59;1;2;3;3;3
60;1;1;1;1;2
