file,call_nr,severity_A,severity_B,severity_C,severity_D,severity_E
Notruf_1,1,1,2,3,1,0
Notruf_2,2,1,1,2,3,0
Notruf_3,3,1,1,0,2,1
Notruf_4,4,1,2,1,1,1
Notruf_5,5,1,2,1,1,2
Notruf_6,6,3,3,3,3,0
Notruf_7,7,3,3,3,3,3
Notruf_8,8,0,0,1,1,2
Notruf_9,9,3,3,1,1,2
Notruf_10,10,1,1,1,3,0
Notruf_11,11,1,1,2,1,2
Notruf_12,12,1,1,1,1,2
Notruf_13,13,2,0,0,0,3
Notruf_14,14,2,2,1,2,2
Notruf_15,15,1,3,3,1,2
Notruf_16,16,2,2,0,3,2
Notruf_17,17,1,2,3,2,3
Notruf_18,18,1,1,3,2,3
Notruf_19,19,0,0,0,2,0
Notruf_20,20,1,1,3,1,3
Notruf_21,21,3,3,3,3,2
Notruf_22,22,3,3,3,3,2
Notruf_23,23,1,1,2,3,2
Notruf_24,24,1,2,0,1,2
Notruf_25,25,2,1,2,3,2
Notruf_26,26,1,2,3,1,0
Notruf_27,27,1,1,2,2,2
Notruf_28,28,3,1,1,3,2
Notruf_29,29,1,1,2,3,2
Notruf_30,30,0,0,3,2,2
Notruf_31,31,1,1,2,2,1
Notruf_32,32,2,3,2,2,2
Notruf_33,33,3,3,3,3,1
Notruf_34,34,1,3,3,3,1
Notruf_35,35,1,1,1,3,0
Notruf_36,36,1,1,2,1,2
Notruf_37,37,1,1,2,2,2
Notruf_38,38,1,1,1,1,2
Notruf_39,39,2,3,1,1,2
Notruf_40,40,2,3,2,3,2
Notruf_41,41,1,1,2,1,2
Notruf_42,42,1,1,1,3,0
Notruf_43,43,1,1,2,2,0
Notruf_44,44,1,1,2,2,1
Notruf_45,45,1,1,2,1,2
Notruf_46,46,1,1,2,1,2
Notruf_47,47,3,1,1,1,2
Notruf_48,48,2,3,2,3,1
Notruf_49,49,1,2,2,2,2
Notruf_50,50,3,3,2,3,3
Notruf_51,51,2,3,2,2,2
Notruf_52,52,3,3,2,2,2
Notruf_53,53,1,1,2,3,0
Notruf_54,54,1,2,3,2,3
Notruf_55,55,1,2,2,2,1
Notruf_56,56,1,1,2,1,2
Notruf_57,57,1,1,2,1,2
Notruf_58,58,2,3,3,3,0
Notruf_59,59,1,3,3,3,3
Notruf_60,60,1,1,1,1,3
